trial,machine_type,function,cpu,ram,time
67,ubuntu_pc,insertion_sort,98.82,19.706,1.657
67,ubuntu_pc,merge_sort,36.95,20.017,0.021
67,ubuntu_pc,quick_sort,37.05,19.73,0.013
67,ubuntu_pc,heap_sort,49.53,19.714,0.032
68,ubuntu_pc,bubble_sort,99.63,19.653,5.794
68,ubuntu_pc,selection_sort,98.63,19.698,1.562
68,ubuntu_pc,insertion_sort,98.72,19.702,1.663
68,ubuntu_pc,merge_sort,0.0,20.017,0.021
68,ubuntu_pc,quick_sort,37.3,19.726,0.013
68,ubuntu_pc,heap_sort,49.9,19.71,0.033
69,ubuntu_pc,bubble_sort,99.65,19.649,5.873
69,ubuntu_pc,selection_sort,98.92,19.689,1.585
69,ubuntu_pc,insertion_sort,98.63,19.694,1.681
69,ubuntu_pc,merge_sort,36.95,20.005,0.021
69,ubuntu_pc,quick_sort,36.9,19.714,0.012
69,ubuntu_pc,heap_sort,49.57,19.698,0.032
70,ubuntu_pc,bubble_sort,99.6,19.657,5.848
70,ubuntu_pc,selection_sort,98.64,19.698,1.567
70,ubuntu_pc,insertion_sort,98.51,19.702,1.678
70,ubuntu_pc,merge_sort,0.0,20.017,0.022
70,ubuntu_pc,quick_sort,37.0,19.726,0.012
70,ubuntu_pc,heap_sort,49.57,19.71,0.032
71,ubuntu_pc,bubble_sort,99.61,19.489,5.794
71,ubuntu_pc,selection_sort,98.85,19.53,1.67
71,ubuntu_pc,insertion_sort,99.05,19.534,1.672
71,ubuntu_pc,merge_sort,0.0,19.849,0.022
71,ubuntu_pc,quick_sort,37.15,19.558,0.013
71,ubuntu_pc,heap_sort,49.47,19.542,0.032
72,ubuntu_pc,bubble_sort,99.6,19.649,5.978
72,ubuntu_pc,selection_sort,99.09,19.694,1.612
72,ubuntu_pc,insertion_sort,98.63,19.698,1.669
72,ubuntu_pc,merge_sort,37.1,20.005,0.021
72,ubuntu_pc,quick_sort,36.95,19.718,0.012
72,ubuntu_pc,heap_sort,49.53,19.702,0.034
73,ubuntu_pc,bubble_sort,99.65,19.55,5.867
73,ubuntu_pc,selection_sort,98.6,19.595,1.558
73,ubuntu_pc,insertion_sort,99.07,19.599,1.639
73,ubuntu_pc,merge_sort,37.0,19.915,0.021
73,ubuntu_pc,quick_sort,36.85,19.628,0.012
73,ubuntu_pc,heap_sort,49.6,19.608,0.032
74,ubuntu_pc,bubble_sort,99.59,19.73,5.87
74,ubuntu_pc,selection_sort,98.67,19.775,1.6
74,ubuntu_pc,insertion_sort,99.12,19.78,1.672
74,ubuntu_pc,merge_sort,36.95,20.091,0.021
74,ubuntu_pc,quick_sort,37.3,19.804,0.013
74,ubuntu_pc,heap_sort,49.43,19.784,0.032
75,ubuntu_pc,bubble_sort,99.57,19.567,5.716
75,ubuntu_pc,selection_sort,98.71,19.612,1.6
75,ubuntu_pc,insertion_sort,98.85,19.616,1.645
75,ubuntu_pc,merge_sort,36.85,19.923,0.021
75,ubuntu_pc,quick_sort,37.0,19.636,0.012
75,ubuntu_pc,heap_sort,49.47,19.62,0.033
76,ubuntu_pc,bubble_sort,99.69,19.546,5.869
76,ubuntu_pc,selection_sort,98.57,19.587,1.564
76,ubuntu_pc,insertion_sort,98.85,19.591,1.647
76,ubuntu_pc,merge_sort,37.0,19.972,0.021
76,ubuntu_pc,quick_sort,37.3,19.616,0.013
76,ubuntu_pc,heap_sort,49.8,19.599,0.032
77,ubuntu_pc,bubble_sort,99.67,19.694,5.849
77,ubuntu_pc,selection_sort,98.62,19.735,1.6
77,ubuntu_pc,insertion_sort,99.23,19.739,1.669
77,ubuntu_pc,merge_sort,36.95,20.05,0.021
77,ubuntu_pc,quick_sort,36.95,19.759,0.013
77,ubuntu_pc,heap_sort,49.53,19.743,0.033
78,ubuntu_pc,bubble_sort,99.61,19.431,5.881
78,ubuntu_pc,selection_sort,98.48,19.472,1.582
78,ubuntu_pc,insertion_sort,98.88,19.476,1.654
78,ubuntu_pc,merge_sort,37.1,19.792,0.021
78,ubuntu_pc,quick_sort,37.05,19.505,0.013
78,ubuntu_pc,heap_sort,49.57,19.489,0.032
